,trend_1
0,50265.69478436896
1,50282.88628215166
2,50300.07777741773
3,50317.26927008451
4,50334.46076033068
5,50351.65224847307
6,50368.84373488208
7,50386.03521992717
8,50403.22670394503
9,50420.41818722354
10,50437.60966999675
11,50454.80115244654
12,50471.99263470818
13,50489.18411687772
14,50506.37559901973
15,50523.56708117459
16,50540.75856336495
17,50557.95004560102
18,50575.1415278848
19,50592.33301021331
20,50609.52449258087
21,50626.71597498074
22,50643.90745740613
23,50661.09893985078
24,50678.29042230937
25,50695.48190477752
26,50712.67338725182
27,50729.86486972974
28,50747.05635220946
29,50764.24783468976
30,50781.43931716987
31,50798.63079964936
32,50815.822282128
33,50833.01376460578
34,50850.20524708273
35,50867.39672955895
36,50884.58821203458
37,50901.77969450973
38,50918.97117698451
39,50936.16265945903
40,50953.35414193338
41,50970.5456244076
42,50987.73710688176
43,51004.92858935588
44,51022.12007182999
45,51039.3115543041
46,51056.50303677822
47,51073.69451925236
48,51090.88600172651
49,51108.07748420068
50,51125.26896667486
51,51142.46044914905
52,51159.65193162326
53,51176.84341409746
54,51194.03489657168
55,51211.22637904589
56,51228.41786152012
57,51245.60934399434
58,51262.80082646856
59,51279.99230894278
60,51297.18379141701
61,51314.37527389123
62,51331.56675636546
63,51348.75823883967
64,51365.94972131388
65,51383.14120378811
66,51400.33268626233
67,51417.52416873655
68,51434.71565121076
69,51451.90713368499
70,51469.09861615921
71,51486.29009863343
72,51503.48158110764
73,51520.67306358187
74,51537.86454605609
75,51555.0560285303
76,51572.24751100452
77,51589.43899347874
78,51606.63047595297
79,51623.82195842718
80,51641.0134409014
81,51658.20492337562
82,51675.39640584985
83,51692.58788832406
84,51709.77937079828
85,51726.9708532725
86,51744.16233574673
87,51761.35381822094
88,51778.54530069515
89,51795.73678316938
90,51812.9282656436
91,51830.11974811782
92,51847.31123059203
93,51864.50271306626
94,51881.69419554048
95,51898.8856780147
96,51916.07716048891
97,51933.26864296314
98,51950.46012543736
99,51967.65160791158
100,51984.84309038579
101,52002.03457286001
102,52019.22605533423
103,52036.41753780845
104,52053.60902028267
105,52070.80050275689
106,52087.99198523111
107,52105.18346770533
108,52122.37495017955
109,52139.56643265377
110,52156.75791512799
111,52173.94939760221
112,52191.14088007642
113,52208.33236255065
114,52225.52384502487
115,52242.71532749909
116,52259.9068099733
117,52277.09829244752
118,52294.28977492174
119,52311.48125739596
120,52328.67273987018
121,52345.8642223444
122,52363.05570481862
123,52380.24718729284
124,52397.43866976706
125,52414.63015224128
126,52431.8216347155
127,52449.01311718972
128,52466.20459966394
129,52483.39608213816
130,52500.58756461238
131,52517.77904708659
132,52534.97052956081
133,52552.16201203503
134,52569.35349450926
135,52586.54497698347
136,52603.73645945769
137,52620.92794193191
138,52638.11942440613
139,52655.31090688035
140,52672.50238935457
141,52689.69387182879
142,52706.88535430301
143,52724.07683677723
144,52741.26831925145
145,52758.45980172567
146,52775.65128419989
147,52792.84276667411
148,52810.03424914832
149,52827.22573162254
150,52844.41721409677
151,52861.60869657098
152,52878.8001790452
153,52895.99166151942
154,52913.18314399365
155,52930.37462646786
156,52947.56610894208
157,52964.7575914163
158,52981.94907389053
159,52999.14055636474
160,53016.33203883896
161,53033.52352131318
162,53050.7150037874
163,53067.90648626162
164,53085.09796873583
165,53102.28945121006
166,53119.48093368428
167,53136.6724161585
168,53153.86389863271
169,53171.05538110694
170,53188.24686358116
171,53205.43834605538
172,53222.62982852959
173,53239.82131100382
174,53257.01279347804
175,53274.20427595225
176,53291.39575842647
177,53308.58724090069
178,53325.77872337492
179,53342.97020584913
180,53360.16168832335
181,53377.35317079757
182,53394.5446532718
183,53411.73613574601
184,53428.92761822023
185,53446.11910069445
186,53463.31058316867
187,53480.50206564289
188,53497.6935481171
189,53514.88503059133
190,53532.07651306555
191,53549.26799553977
192,53566.45947801398
193,53583.65096048821
194,53600.84244296243
195,53618.03392543665
196,53635.22540791086
197,53652.41689038509
198,53669.60837285931
199,53686.79985533352
200,53703.99133780774
201,53721.18282028196
202,53738.37430275619
203,53755.5657852304
204,53772.75726770462
205,53789.94875017884
206,53807.14023265307
207,53824.33171512728
208,53841.5231976015
209,53858.71468007572
210,53875.90616254995
211,53893.09764502416
212,53910.28912749837
213,53927.4806099726
214,53944.67209244682
215,53961.86357492104
216,53979.05505739525
217,53996.24653986948
218,54013.4380223437
219,54030.62950481792
220,54047.82098729213
221,54065.01246976636
222,54082.20395224058
223,54099.39543471479
224,54116.58691718901
225,54133.77839966323
226,54150.96988213745
227,54168.16136461167
228,54185.35284708589
229,54202.54432956011
230,54219.73581203433
231,54236.92729450855
232,54254.11877698277
233,54271.31025945699
234,54288.50174193121
235,54305.69322440543
236,54322.88470687964
237,54340.07618935387
238,54357.26767182809
239,54374.45915430231
240,54391.65063677652
241,54408.84211925074
242,54426.03360172496
243,54443.22508419918
244,54460.4165666734
245,54477.60804914762
246,54494.79953162184
247,54511.99101409606
248,54529.18249657028
249,54546.3739790445
250,54563.56546151872
251,54580.75694399294
252,54597.94842646716
253,54615.13990894138
254,54632.3313914156
255,54649.52287388981
256,54666.71435636403
257,54683.90583883825
258,54701.09732131248
259,54718.28880378669
260,54735.48028626091
261,54752.67176873513
262,54769.86325120935
263,54787.05473368357
264,54804.24621615779
265,54821.43769863201
266,54838.62918110623
267,54855.82066358045
268,54873.01214605467
269,54890.20362852889
270,54907.39511100311
271,54924.58659347733
272,54941.77807595154
273,54958.96955842576
274,54976.16104089999
275,54993.3525233742
276,55010.54400584842
277,55027.73548832264
278,55044.92697079687
279,55062.11845327108
280,55079.3099357453
281,55096.50141821952
282,55113.69290069375
283,55130.88438316796
284,55148.07586564218
285,55165.2673481164
286,55182.45883059062
287,55199.65031306484
288,55216.84179553905
289,55234.03327801328
290,55251.2247604875
291,55268.41624296172
292,55285.60772543593
293,55302.79920791016
294,55319.99069038438
295,55337.1821728586
296,55354.37365533281
297,55371.56513780703
298,55388.75662028126
299,55405.94810275547
300,55423.13958522969
301,55440.33106770391
302,55457.52255017814
303,55474.71403265235
304,55491.90551512657
305,55509.09699760079
306,55526.28848007502
307,55543.47996254923
308,55560.67144502345
309,55577.86292749767
310,55595.05440997189
311,55612.24589244611
312,55629.43737492032
313,55646.62885739455
314,55663.82033986877
315,55681.01182234299
316,55698.2033048172
317,55715.39478729143
318,55732.58626976565
319,55749.77775223987
320,55766.96923471408
321,55784.16071718831
322,55801.35219966253
323,55818.54368213674
324,55835.73516461096
325,55852.92664708518
326,55870.11812955941
327,55887.30961203362
328,55904.50109450784
329,55921.69257698206
330,55938.88405945629
331,55956.0755419305
332,55973.26702440472
333,55990.45850687894
334,56007.64998935316
335,56024.84147182738
336,56042.03295430159
337,56059.22443677582
338,56076.41591925004
339,56093.60740172426
340,56110.79888419847
341,56127.9903666727
342,56145.18184914692
343,56162.37333162114
344,56179.56481409535
345,56196.75629656958
346,56213.9477790438
347,56231.13926151801
348,56248.33074399223
349,56265.52222646645
350,56282.71370894068
351,56299.90519141489
352,56317.09667388911
353,56334.28815636333
354,56351.47963883755
355,56368.67112131177
356,56385.86260378599
357,56403.05408626021
358,56420.24556873443
359,56437.43705120865
360,56454.62853368286
361,56471.82001615709
362,56489.01149863131
363,56506.20298110553
364,56523.39446357974
365,56540.58594605397
366,56557.77742852818
367,56574.9689110024
368,56592.16039347662
369,56609.35187595084
370,56626.54335842506
371,56643.73484089928
372,56660.9263233735
373,56678.11780584772
374,56695.30928832194
375,56712.50077079616
376,56729.69225327038
377,56746.8837357446
378,56764.07521821882
379,56781.26670069304
380,56798.45818316725
381,56815.64966564147
382,56832.8411481157
383,56850.03263058991
384,56867.22411306413
385,56884.41559553835
386,56901.60707801257
387,56918.79856048679
388,56935.99004296101
389,56953.18152543523
390,56970.37300790945
391,56987.56449038367
392,57004.75597285789
393,57021.94745533211
394,57039.13893780633
395,57056.33042028055
396,57073.52190275476
397,57090.71338522898
398,57107.90486770321
399,57125.09635017742
400,57142.28783265164
401,57159.47931512586
402,57176.67079760009
403,57193.8622800743
404,57211.05376254852
405,57228.24524502274
406,57245.43672749697
407,57262.62820997118
408,57279.8196924454
409,57297.01117491962
410,57314.20265739384
411,57331.39413986806
412,57348.58562234227
413,57365.7771048165
414,57382.96858729072
415,57400.16006976494
416,57417.35155223915
417,57434.54303471338
418,57451.7345171876
419,57468.92599966182
420,57486.11748213603
421,57503.30896461025
422,57520.50044708448
423,57537.69192955869
424,57554.88341203291
425,57572.07489450713
426,57589.26637698136
427,57606.45785945557
428,57623.64934192979
429,57640.84082440401
430,57658.03230687824
431,57675.22378935245
432,57692.41527182667
433,57709.60675430089
434,57726.79823677511
435,57743.98971924933
436,57761.18120172354
437,57778.37268419777
438,57795.56416667199
439,57812.75564914621
440,57829.94713162042
441,57847.13861409465
442,57864.33009656887
443,57881.52157904309
444,57898.7130615173
445,57915.90454399152
446,57933.09602646575
447,57950.28750893996
448,57967.47899141418
449,57984.6704738884
450,58001.86195636263
451,58019.05343883684
452,58036.24492131106
453,58053.43640378528
454,58070.62788625951
455,58087.81936873372
456,58105.01085120794
457,58122.20233368216
458,58139.39381615638
459,58156.5852986306
460,58173.77678110481
461,58190.96826357904
462,58208.15974605326
463,58225.35122852748
464,58242.54271100169
465,58259.73419347592
466,58276.92567595014
467,58294.11715842436
468,58311.30864089857
469,58328.5001233728
470,58345.69160584702
471,58362.88308832123
472,58380.07457079545
473,58397.26605326967
474,58414.4575357439
475,58431.64901821811
476,58448.84050069233
477,58466.03198316655
478,58483.22346564077
479,58500.41494811499
480,58517.60643058921
481,58534.79791306343
482,58551.98939553765
483,58569.18087801187
484,58586.37236048608
485,58603.56384296031
486,58620.75532543453
487,58637.94680790875
488,58655.13829038296
489,58672.32977285719
490,58689.5212553314
491,58706.71273780562
492,58723.90422027984
493,58741.09570275406
494,58758.28718522828
495,58775.4786677025
496,58792.67015017672
497,58809.86163265094
498,58827.05311512516
499,58844.24459759938
500,58861.4360800736
501,58878.62756254782
502,58895.81904502204
503,58913.01052749626
504,58930.20200997048
505,58947.39349244469
506,58964.58497491892
507,58981.77645739313
508,58998.96793986735
509,59016.15942234157
510,59033.35090481579
511,59050.54238729001
512,59067.73386976423
513,59084.92535223845
514,59102.11683471267
515,59119.30831718689
516,59136.49979966111
517,59153.69128213533
518,59170.88276460955
519,59188.07424708377
520,59205.26572955798
521,59222.4572120322
522,59239.64869450643
523,59256.84017698064
524,59274.03165945486
525,59291.22314192908
526,59308.41462440331
527,59325.60610687752
528,59342.79758935174
529,59359.98907182596
530,59377.18055430019
531,59394.3720367744
532,59411.56351924862
533,59428.75500172284
534,59445.94648419706
535,59463.13796667128
536,59480.32944914549
537,59497.52093161972
538,59514.71241409394
539,59531.90389656816
540,59549.09537904237
541,59566.2868615166
542,59583.47834399082
543,59600.66982646504
544,59617.86130893925
545,59635.05279141347
546,59652.2442738877
547,59669.43575636191
548,59686.62723883613
549,59703.81872131035
550,59721.01020378458
551,59738.20168625879
552,59755.39316873301
553,59772.58465120723
554,59789.77613368146
555,59806.96761615567
556,59824.15909862989
557,59841.35058110411
558,59858.54206357833
559,59875.73354605255
560,59892.92502852676
561,59910.11651100099
562,59927.30799347521
563,59944.49947594943
564,59961.69095842364
565,59978.88244089787
566,59996.07392337209
567,60013.26540584631
568,60030.45688832052
569,60047.64837079474
570,60064.83985326897
571,60082.03133574318
572,60099.2228182174
573,60116.41430069162
574,60133.60578316585
